time	L1	L2	L3	L4
2018-01-29 00:00:00	116	99	85	102
2018-01-29 00:00:00	116	99	85	102
2018-01-29 00:30:00	116	99	85	102
2018-01-29 00:30:00	116	99	85	102
2018-01-29 00:30:00	116	99	85	102
2018-01-29 00:30:00	116	99	85	102
2018-01-29 01:00:00	116	99	85	102
2018-01-29 01:00:00	116	99	85	102
2018-01-29 01:00:00	116	99	85	102
2018-01-29 01:00:00	116	99	85	102
2018-01-29 01:30:00	116	99	85	102
2018-01-29 01:30:00	116	99	85	102
2018-01-29 01:30:00	116	99	85	102
2018-01-29 01:30:00	116	99	85	102
2018-01-29 02:00:00	116	99	85	102
2018-01-29 02:00:00	116	99	85	102
2018-01-29 02:00:00	116	99	85	102
2018-01-29 02:00:00	116	99	85	102
2018-01-29 02:30:00	116	99	85	102
2018-01-29 02:30:00	116	99	85	102
2018-01-29 02:30:00	116	99	85	102
2018-01-29 02:30:00	116	99	85	102
2018-01-29 03:00:00	116	99	85	102
2018-01-29 03:00:00	116	99	85	102
2018-01-29 03:00:00	116	99	85	102
2018-01-29 03:00:00	116	99	85	102
2018-01-29 03:30:00	116	99	85	102
2018-01-29 03:30:00	116	99	85	102
2018-01-29 03:30:00	116	99	85	102
2018-01-29 03:30:00	116	99	85	102
2018-01-29 04:00:00	116	99	85	102
2018-01-29 04:00:00	116	99	85	102
2018-01-29 04:00:00	116	99	85	102
2018-01-29 04:00:00	116	99	85	102
2018-01-29 04:30:00	116	99	85	102
2018-01-29 04:30:00	116	99	85	102
2018-01-29 04:30:00	116	99	85	102
2018-01-29 04:30:00	116	99	85	102
2018-01-29 05:00:00	116	99	85	102
